customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,Female,0,0,0,3,1,0,No,Month-to-month,0,Mailed check,19.85,63.75,1
2,Female,0,0,0,68,1,1,Fiber optic,Two year,0,Credit card (automatic),110.25,7279.35,0
3,Male,0,1,1,25,1,0,Fiber optic,One year,1,Electronic check,90.4,2178.6,1
4,Male,0,1,0,24,1,1,DSL,One year,1,Electronic check,58.35,1346.9,0
5,Female,1,0,0,49,1,1,Fiber optic,Month-to-month,0,Credit card (automatic),101.55,5070.4,0
6,Female,0,0,0,8,1,1,Fiber optic,Month-to-month,1,Electronic check,99.65,820.5,1
7,Female,0,0,0,61,1,1,DSL,Two year,0,Credit card (automatic),88.65,5321.25,0
8,Female,0,0,0,28,1,0,Fiber optic,Month-to-month,1,Electronic check,80.6,2244.95,0
9,Female,0,0,0,1,1,0,Fiber optic,Month-to-month,1,Electronic check,75.7,75.7,1
10,Female,0,0,0,18,1,0,Fiber optic,Month-to-month,1,Electronic check,75.4,1380.4,0
11,Male,1,0,0,51,1,1,Fiber optic,Month-to-month,1,Electronic check,97.8,4913.3,1
12,Male,0,1,1,66,1,0,No,Two year,0,Credit card (automatic),20,1374.2,0
13,Female,0,0,0,30,1,0,No,Two year,0,Credit card (automatic),19.4,578.5,0
14,Female,0,0,0,9,1,0,Fiber optic,Month-to-month,0,Electronic check,71,672.55,1
15,Female,0,0,0,14,1,1,DSL,One year,1,Mailed check,54.25,773.2,0
16,Female,1,0,0,1,1,0,Fiber optic,Month-to-month,1,Electronic check,70.15,70.15,1
17,Male,0,1,1,43,1,1,No,Two year,0,Mailed check,24.25,1077.95,
18,Male,0,0,0,7,1,1,Fiber optic,Month-to-month,1,Electronic check,99.8,673.25,
19,Male,1,1,0,27,0,0,DSL,Month-to-month,0,Bank transfer (automatic),36.5,1032,1
20,Female,0,0,1,19,1,0,DSL,Month-to-month,1,Electronic check,60.6,1297.8,0
21,Male,1,1,0,51,1,1,Fiber optic,One year,1,Bank transfer (automatic),93.65,4839.15,0
22,Male,0,0,1,28,1,0,Fiber optic,Month-to-month,1,Bank transfer (automatic),74.9,2068.55,1
23,Male,0,1,1,65,1,1,DSL,One year,0,Credit card (automatic),72.45,4653.85,1
24,Male,1,1,0,38,0,0,DSL,Month-to-month,1,Electronic check,24.85,955.75,0
25,Male,0,1,1,72,1,1,Fiber optic,Two year,0,Bank transfer (automatic),114.45,8100.55,0
26,Female,0,0,0,58,1,1,Fiber optic,Month-to-month,1,Bank transfer (automatic),79.8,4526.85,0
27,Male,0,1,1,61,1,0,No,One year,0,Mailed check,20.4,1226.45,0
28,Female,0,1,1,38,1,0,DSL,One year,0,Credit card (automatic),80.3,3058.65,1
29,Female,0,0,0,25,1,1,Fiber optic,Month-to-month,1,Electronic check,100.25,2387.75,1
30,Male,1,1,0,56,1,0,DSL,Two year,1,Bank transfer (automatic),85.65,4824.45,0
31,Male,0,0,0,1,1,0,No,Month-to-month,0,Mailed check,20.05,20.05,0
32,Male,0,1,1,1,1,0,No,One year,0,Credit card (automatic),19.85,19.85,0
33,Female,0,1,1,31,1,1,Fiber optic,Month-to-month,1,Electronic check,91.15,2995.45,1
34,Male,0,0,0,22,1,1,Fiber optic,Month-to-month,1,Credit card (automatic),94.65,2104.55,1
35,Male,0,1,1,59,1,1,Fiber optic,Two year,1,Credit card (automatic),99.5,5861.75,0
36,Male,0,0,0,9,1,1,Fiber optic,Month-to-month,1,Electronic check,85.5,791.7,0
37,Male,0,1,1,36,0,0,DSL,One year,0,Credit card (automatic),60.7,2234.55,0
